ID_event,Event_Type,Event_Description,Event_Strength,Geographic_Impact,Start_date,End_date,Precise_Date_Start,Precise_Date_End,Season,Chronological_precision,Lat,Lon,Modern_Location_Name,Ancient_Location_Name,Spatial_Precision,Extra_Notes,Paleoenvironmental_Comparison,Pfister_Wet_Dry,Pfister_Cold_Warm
375,1,Si indica una siccità persistente nella zona di Poggiardo dal settembre del 1762 fino a tutto ottobre che ebbe modo di causare una deludente vedemmia e la caduta di poche olive,2,1,1762,1762,01/09/1762,31/10/1762,Estate/Autunno,5,40.03,18.23,Poggiardo,NA,TRUE,NA,NA,-2,NA
376,9,Giacinto Cocola riferisce in una lettera del 30 aprile 1764 della presenza di tempi molto freddi e gelate a Bisceglie,2,1,1764,1764,30/04/1764,30/04/1764,Primavera,5,41.24,16.5,Bisceglie,NA,TRUE,NA,NA,2,-2
377,9,Frate Domenico Caravaglio riferisce al Duca di Poggiardo che a Cerignola vi furono delle gelate tali da rovinare il raccolto del 1764,2,1,1764,1764,NA,NA,NA,3,41.260000000000005,15.89,Cerignola,NA,TRUE,NA,NA,2,-2
388,1,Si indica una siccità nella primavera del 1724 ad Acquaviva delle Fonti che compromise il raccolto,2,1,1724,1724,NA,NA,Primavera,4,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
390,1,Si indica una siccità nella primavera del 1716 ad Acquaviva delle Fonti,2,1,1716,1716,NA,NA,Primavera,4,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
391,1,Si indica una siccità nel 1706 ad Acquaviva delle Fonti,2,1,1706,1706,NA,NA,NA,3,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
392,1,Si indica una siccità nell'aprile del 1727 ad Acquaviva delle Fonti,2,1,1727,1727,01/04/1727,30/04/1727,Primavera,5,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
393,1,Si indica una siccità tra il 1738 e il 1739 ad Acquaviva delle Fonti,2,1,1738,1739,NA,NA,NA,3,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
394,1,Si indica una siccità tra il 1736 e il 1739 a Molfetta,2,1,1736,1739,NA,NA,NA,3,41.2,16.59,Molfetta,NA,TRUE,NA,NA,-2,NA
395,1,Si indica una siccità nell'aprile del 1754 ad Acquaviva delle Fonti,2,1,1754,1754,NA,NA,NA,3,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
396,1,Si indica una siccità tra l'aprile del 1755 e il 10 maggio ad Acquaviva delle Fonti,2,1,1755,1755,01/04/1755,10/05/1755,Primavera,5,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
397,1,Si indica una siccità tra il marzo e il maggio del 1756 ad Acquaviva delle Fonti,2,1,1756,1756,01/03/1756,31/05/1756,Inverno/Primavera,5,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
398,8,Si indica un calore eccessivo tra il 1758 e il 1760 ad Acquaviva delle Fonti,2,1,1758,1760,NA,NA,NA,3,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,2
399,1,Si indica una siccità nel febbraio 1761 ad Acquaviva delle Fonti,2,1,1761,1761,01/02/1761,28/02/1761,Inverno,5,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
400,1,Si indica una siccità nella primavera e nell'estate del 1762 ad Acquaviva delle Fonti,2,1,1762,1762,NA,NA,Primavera/Estate,4,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
401,1,Si indica una siccità nell'autunno del 1763 ad Acquaviva delle Fonti,2,1,1763,1763,NA,NA,Autunno,4,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
402,1,Si indica una siccità nell'aprile del 1765 ad Acquaviva delle Fonti,2,1,1765,1765,01/04/1765,30/04/1765,Primavera,5,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
403,1,Si indica una siccità nell'estate del 1767 ad Acquaviva delle Fonti,2,1,1767,1767,NA,NA,Estate,4,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
404,1,Si indica una siccità nella primavera e nell'estate del 1768 ad Acquaviva delle Fonti,2,1,1768,1768,NA,NA,Primavera/Estate,4,40.89674921,16.84723617,Acquaviva delle Fonti,NA,TRUE,NA,NA,-2,NA
